Test Case ID,Category,Target Agent,User Prompt,Expected Status,Expected Action,Employee ID
TC-POL-001,Policy_QA,,What is the company policy regarding vacation accrual (variation 1)?,SUCCESS,N/A,EMP1024
TC-POL-002,Policy_QA,,What is the company policy regarding vacation accrual (variation 2)?,SUCCESS,N/A,EMP1024
TC-POL-003,Policy_QA,,What is the company policy regarding vacation accrual (variation 3)?,SUCCESS,N/A,EMP1024
TC-POL-004,Policy_QA,,What is the company policy regarding vacation accrual (variation 4)?,SUCCESS,N/A,EMP1024
TC-POL-005,Policy_QA,,What is the company policy regarding vacation accrual (variation 5)?,SUCCESS,N/A,EMP1024
TC-POL-006,Policy_QA,,What is the company policy regarding vacation accrual (variation 6)?,SUCCESS,N/A,EMP1024
TC-POL-007,Policy_QA,,What is the company policy regarding vacation accrual (variation 7)?,SUCCESS,N/A,EMP1024
TC-POL-008,Policy_QA,,What is the company policy regarding vacation accrual (variation 8)?,SUCCESS,N/A,EMP1024
TC-POL-009,Policy_QA,,What is the company policy regarding vacation accrual (variation 9)?,SUCCESS,N/A,EMP1024
TC-POL-010,Policy_QA,,What is the company policy regarding vacation accrual (variation 10)?,SUCCESS,N/A,EMP1024
TC-POL-011,Policy_QA,,What is the company policy regarding sick leave notice (variation 1)?,SUCCESS,N/A,EMP1024
TC-POL-012,Policy_QA,,What is the company policy regarding sick leave notice (variation 2)?,SUCCESS,N/A,EMP1024
TC-POL-013,Policy_QA,,What is the company policy regarding sick leave notice (variation 3)?,SUCCESS,N/A,EMP1024
TC-POL-014,Policy_QA,,What is the company policy regarding sick leave notice (variation 4)?,SUCCESS,N/A,EMP1024
TC-POL-015,Policy_QA,,What is the company policy regarding sick leave notice (variation 5)?,SUCCESS,N/A,EMP1024
TC-POL-016,Policy_QA,,What is the company policy regarding sick leave notice (variation 6)?,SUCCESS,N/A,EMP1024
TC-POL-017,Policy_QA,,What is the company policy regarding sick leave notice (variation 7)?,SUCCESS,N/A,EMP1024
TC-POL-018,Policy_QA,,What is the company policy regarding sick leave notice (variation 8)?,SUCCESS,N/A,EMP1024
TC-POL-019,Policy_QA,,What is the company policy regarding sick leave notice (variation 9)?,SUCCESS,N/A,EMP1024
TC-POL-020,Policy_QA,,What is the company policy regarding sick leave notice (variation 10)?,SUCCESS,N/A,EMP1024
TC-POL-021,Policy_QA,,What is the company policy regarding parental leave duration (variation 1)?,SUCCESS,N/A,EMP1024
TC-POL-022,Policy_QA,,What is the company policy regarding parental leave duration (variation 2)?,SUCCESS,N/A,EMP1024
TC-POL-023,Policy_QA,,What is the company policy regarding parental leave duration (variation 3)?,SUCCESS,N/A,EMP1024
TC-POL-024,Policy_QA,,What is the company policy regarding parental leave duration (variation 4)?,SUCCESS,N/A,EMP1024
